Time,dSVENY05,dSVENY10,dTIPSY10,sp_daily,dvix,dollar_ret_pm,mps,mpu,mpu_level_lag
04-Feb-1994,0.139798839,0.139119969,NaN,-0.0229358055621551,4.5,-0.00822126779547043,0.161300398995415,0.032011395868761,0.958110238324974
22-Mar-1994,-0.116405374999999,-0.105021916,NaN,0.000554716554288959,-0.949999999999999,0.000642470025231782,-0.106924441732861,-0.07107689358483,1.20187913619318
17-May-1994,-0.190055393000001,-0.217269206,NaN,0.0109190557067009,-0.59,0.000498948537603942,-0.184247659871792,-0.10086970033431,1.54932472940174
06-Jul-1994,-0.0107950570000002,0.0245359270000005,NaN,-0.000537792730048281,-0.220000000000001,0.00181980908027709,-0.0199986501719209,-0.03618313840441,1.58169741869904
16-Aug-1994,-0.103734728999999,-0.121087713000001,NaN,0.00816207440706229,-0.67,-0.00347984271130285,-0.0267632501230794,-0.05457554800484,1.4355827600084
27-Sep-1994,0.0226122339999995,0.0348406749999999,NaN,0.00266555795493506,-0.43,0.00480328958721078,0.0154675847012016,-0.03497157313195,1.40650000339247
15-Nov-1994,0.000577617000000252,-0.0561608080000005,NaN,-0.00216956917847355,-0.0199999999999996,-0.00677753085479423,0.058537019405064,-0.02967514124388,1.29481556407759
20-Dec-1994,-0.0138999999999996,0.00150000000000006,NaN,-0.00177046852543672,-0.0399999999999991,0.000847072706216231,0.0104960293053029,-0.00492139531020008,1.45829417995021
01-Feb-1995,0.0401999999999996,0.0505000000000004,NaN,-4.25564929615874e-05,-0.23,0.00299813803449249,0.32381069174524,0.0142006656757099,1.43526296170902
28-Mar-1995,0.105005516,0.087106941,NaN,0.00139009454582073,-0.5,0.00512514505207018,0.145464299755341,0.02804624280576,1.45291861689846
23-May-1995,-0.0747856339999995,-0.0508751099999998,NaN,0.00938956712290473,-0.129999999999999,-0.000177413696991289,-0.0660138554486902,0.0124088771992998,1.46669826711041
06-Jul-1995,-0.174216202,-0.111719111,NaN,0.0122225902990154,-0.58,0.00191617620483525,-0.281725883054957,-0.12869040985317,1.64917393625101
22-Aug-1995,0.0414774600000003,0.0411830340000003,NaN,0.00252326036669448,-0.82,-0.00209751791832728,0.0315871262153152,-0.00652958171650009,1.44239212477408
26-Sep-1995,0.0190962469999993,0.0186008769999999,NaN,-0.000687789112536308,-0.32,-0.00212878939733334,0.0856994962248277,-0.0186718123891598,1.42361315963473
15-Nov-1995,0.0401356359999996,0.0303827340000007,NaN,0.00789362898615931,-0.430000000000001,0.000534370391346909,0.017954956383246,-0.03411915277561,1.40429089897986
19-Dec-1995,-0.071749692,-0.0602658549999999,NaN,0.0084021615091654,-1.39,-0.00450757428852505,-0.140166161531194,-0.04720154363248,1.25556052838845
31-Jan-1996,-0.0568789549999993,-0.0241475920000003,NaN,0.0092721164624523,0.109999999999999,0.0033267105256887,-0.0979434763104816,-0.04359777525175,1.08117034491018
26-Mar-1996,0.00417468499999973,-0.0150355050000002,NaN,0.00449727638783859,-0.0399999999999991,-0.00114924568997551,0.0186494711466465,-0.00369340702227006,1.33346569482879
21-May-1996,0.0319819720000005,0.0263261230000005,NaN,-0.000579554355141454,0.199999999999999,-0.00222011192324679,0.0213184753114902,0.00735036544370993,1.26856440662883
03-Jul-1996,-0.0304527099999996,0.00819936500000029,NaN,-0.00179784892804502,0.0200000000000014,0.00194610323598495,-0.0568824115247954,-0.03246921861996,1.32172348141695
20-Aug-1996,0.000899670999999991,-0.00473408600000003,NaN,-0.00133608820990716,-0.539999999999999,-0.00111200559159991,-0.00624391318223021,-0.02457440972004,1.22036764596926
24-Sep-1996,-0.0810087079999997,-0.0482600099999999,NaN,-0.00126813130156656,-0.0100000000000016,0.00297259193853308,-0.158915918735147,-0.04267639046251,1.23756488823537
13-Nov-1996,0.00982309800000003,0.0172296279999999,NaN,0.00214967939997557,-0.469999999999999,0.000329360410076512,0.0129622917752084,-0.0139171225389498,1.17193869504365
17-Dec-1996,0.0442570920000005,0.0172087520000002,NaN,0.00699370951526745,-1.22,0.000144235129767094,0.0539147352114843,-0.0317679874943499,1.13569943251958
05-Feb-1997,0.0278031800000003,0.0306038490000002,NaN,-0.0140094164196745,1.63,0.000455316947879513,0.00563048460089552,0.00205060403154,1.06023629987716
25-Mar-1997,0.034174846,0.0112730509999999,NaN,-0.00230386690761542,-0.799999999999997,-0.00268583531265252,0.059060414006858,-0.0508999592835101,1.0237372962268
20-May-1997,-0.0184791290000001,-0.000725038999999761,NaN,0.0100183568365795,-2.22,0.0143619178474042,-0.0877703271779179,-0.035012784613304,0.93361749461028
02-Jul-1997,-0.023877723,-0.0274614409999998,NaN,0.0144844482765683,-1.3,0.000565151752558306,-0.0108393974132176,-0.017206186731666,0.868610666632473
19-Aug-1997,0.0115236530000002,-0.00186852299999973,NaN,0.0147079289894938,-1.73,-0.00084333960596385,0.0287470953629667,-0.0108756729940011,0.861438236994277
30-Sep-1997,0.0158113030000004,0.0187863029999997,NaN,-0.00637688581314144,0.68,0.00375274213307099,0.0193479075673984,-0.00340140173624193,0.805799636461822
12-Nov-1997,-0.0201755270000001,-0.0113004339999998,NaN,-0.0194788002055812,1.46,-0.00516930600309987,-0.00033213494522833,0.00884132275230398,0.891705076676893
16-Dec-1997,-0.00681863299999996,-0.0141023139999996,NaN,0.00481505620278799,-1.26,-0.00349497800165081,0.0054358334996691,-0.015677923289835,0.873318116566268
04-Feb-1998,-0.00956234299999981,0.00532284099999991,NaN,0.000894256097419444,-0.120000000000001,0.00619394195993221,0.000803004292048917,-0.00269738045008994,0.895147990094227
31-Mar-1998,-0.0594168219999993,-0.0464032860000003,NaN,0.00742484025822332,-0.440000000000001,-0.00200101904963962,-0.0300884429588325,-0.00551208506421597,0.816112041598415
19-May-1998,0.00269107800000068,0.0378098309999997,NaN,0.00334041501291349,-1.3,-0.000668725471361308,-0.0075494027722156,0.00260333115104305,0.766450905504377
01-Jul-1998,-0.0257274480000005,0.00132741600000053,NaN,0.0128989633160526,-1.71,-0.000627267415856791,-0.0171875366192837,-0.012865155985597,0.74135738560405
18-Aug-1998,0.0118890889999994,0.00693417300000032,NaN,0.0160469805610859,-3.46,0.000597589627989734,0.0212510407263005,-0.00944571938281902,0.746603213910776
29-Sep-1998,-0.0045115460000007,-0.0359969530000006,NaN,0.000314704138189903,1.21,0.00376114849302371,0.0349145400869573,-0.041427802638498,0.986384342206714
17-Nov-1998,0.0100929949999999,0.0288983200000006,NaN,0.0030326730810124,-0.949999999999999,-0.00011358669487639,-0.0509756773332007,-0.12328858029165,1.15836672264895
22-Dec-1998,0.0441777219999997,0.0674892709999995,NaN,0.000606696322808631,-1.08,-0.00198357618102608,0.0351930159347324,-0.00978789677390002,1.26158239371084
03-Feb-1999,0.0490492629999997,0.0299405780000006,0.00039982800000038,0.00795562016643725,-0.280000000000001,-0.000556850712512767,0.0350850582059006,-0.018970419011977,1.01271719344124
30-Mar-1999,-0.0633172049999997,-0.0667902090000005,0.0250999920000003,-0.007215912181052,-0.809999999999999,-0.00191481155722355,-0.0308460194954918,-0.016339241288006,0.889499060461267
